title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,genre1,genre2,genre3,,,
Monty Python's Life of Brian,movie,Comedy,1979,tt0079470,8,429524,,Comedy,,,,,
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,tt0322259,5.9,311594,,Action, Crime, Thriller,,,
Big Fish,movie,"Adventure, Drama, Fantasy",2003,tt0319061,8,470320,,Adventure, Drama, Fantasy,,,
Silent Hill,movie,"Horror, Mystery",2006,tt0384537,6.5,253450,,Horror, Mystery,,,,
The Da Vinci Code,movie,"Mystery, Thriller",2006,tt0382625,6.6,474158,,Mystery, Thriller,,,,
The Conversation,movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,131670,,Drama, Mystery, Thriller,,,
The Terminal,movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,515812,,Comedy, Drama, Romance,,,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1344129,,Drama, Romance,,,,
City of God,movie,"Crime, Drama",2002,tt0317248,8.6,840956,,Crime, Drama,,,,
Full Metal Jacket,movie,"Drama, War",1987,tt0093058,8.2,825225,,Drama, War,,,,
The Matrix,movie,"Action, Sci-Fi",1999,tt0133093,8.7,2164587,,Action, Sci-Fi,,,,
The Matrix Reloaded,movie,"Action, Sci-Fi",2003,tt0234215,7.2,653842,,Action, Sci-Fi,,,,
The Matrix Revolutions,movie,"Action, Sci-Fi",2003,tt0242653,6.7,562239,,Action, Sci-Fi,,,,
Men in Black,movie,"Action, Adventure, Comedy",1997,tt0119654,7.3,642408,,Action, Adventure, Comedy,,,
Men in Black II,movie,"Action, Adventure, Comedy",2002,tt0120912,6.2,420069,,Action, Adventure, Comedy,,,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,247793,,Drama, History, Thriller,,,
Wild Strawberries,movie,"Drama, Romance",1957,tt0050986,8.1,121107,,Drama, Romance,,,,
The Passion of the Christ,movie,Drama,2004,tt0335345,7.3,264027,,Drama,,,,,
The Last Samurai,movie,"Action, Drama",2003,tt0325710,7.8,490928,,Action, Drama,,,,
Wild Things,movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,136853,,Crime, Drama, Mystery,,,
The Bodyguard,movie,"Drama, Music, Romance",1992,tt0103855,6.4,154452,,Drama, Music, Romance,,,
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,472096,,Action, Comedy, Fantasy,,,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,316000,,Comedy, Musical, Romance,,,
The Ninth Gate,movie,"Mystery, Thriller",1999,tt0142688,6.7,205067,,Mystery, Thriller,,,,
Easy Rider,movie,"Adventure, Drama",1969,tt0064276,7.2,120863,,Adventure, Drama,,,,
Interview with the Vampire,movie,"Drama, Fantasy, Horror",1994,tt0110148,7.5,364189,,Drama, Fantasy, Horror,,,
